plan_type,part_type,service_name,no_of_days,amount_paid_by_medicare,amount_paid_by_plan,amount_paid_by_customer
A,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",$0}"
A,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
A,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
A,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",$0}","{""$240 (Part B Deductible)"",$0,""All Costs""}"
A,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
A,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{$0,""$408 a Day"",""$816 a Day"",""100% of Additional Expenses"",$0}","{""$1632 (Part A Deductible)"",$0,$0,$0,""All Costs""}"
A,Part A,Hospice Care,"{""You must meet Medicare's requirements, including a doctor's certification of terminal illness""}","{""All but very limited copayment / coinsurance for outpatient drugs and inpatient respite care""}","{""Medicare copayment / coinsurance""}",{$0}
A,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,$0,$0}","{$0,""Up to $204 a Day"",""All Costs""}"
A,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
B,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""Pays Copayments and Coinsurance""}",{$0}
B,Part A,Blood,"{""First Three Pints"",""Additional Amounts""}","{$0,100%}","{100%,$0}","{$0,$0}"
B,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,""Up to $204 a Day"",""All Costs""}"
B,Part B,Blood,"{""First Three Pints"",""Next $240 of Approved Amounts"",""Remainder of Approved Amounts""}","{$0,$0,""Generally 80%""}","{100%,$0,""Generally 20%""}","{$0,""$240 (Part B Deductible)"",$0}"
B,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
B,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
B,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{$0,20%}","{""$240 (Part B deductible)"",$0}"
B,Part B,Medical Expenses,"{""1st $240 of Approved Amounts"",""Remainder of Approved Amounts"",""Part B Excess Charge""}","{$0,""Generally 80%"",$0}","{$0,""Generally 20%"",$0}","{""$240 (Part B Deductible)"",$0,""All Costs""}"
B,Part A,Hospitalization,"{""First 60 Days"",""61st Through 90th Day"",""91st Day and After (60 Reserve Days)"",""After Reserve (Additional 365 Days)"",""Beyond the Additional 365 Days""}","{""All But $1632"",""All But $408 a Day"",""All But $816 a Day"",$0,$0}","{""$1632 (Part A Deductible)"",""$408 a Day"",""$816 a Day"",""100% of Additional Expenses"",$0}","{$0,$0,$0,$0,""All Costs""}"
C,Part B,Clinical Laboratory Services,"{""Tests for Diagnostic Services""}",{100%},{$0},{$0}
C,Parts A & B,Home Health Care,"{""Medically necessary skilled care services and medical supplies""}",{100%},{$0},{$0}
C,Parts A & B,Durable Medical Equipment,"{""1st $240 of Medicare approved amounts"",""Remainder of medicare approved amounts""}","{$0,80%}","{""$240 (Part B deductible)"",20%}","{$0,$0}"
C,Part A,Skilled Nursing Facility Care,"{""First 20 Days"",""21st Through 100th Day"",""101st Day and After""}","{""All Approved Amounts"",""All But $204 a Day"",$0}","{$0,""Up to $204 a Day"",$0}","{$0,$0,""All Costs""}"
C,Other Benefits,Foreign Travel,"{""First $250 each calendar year"",""Remainder of Charges""}","{$0,$0}","{$0,""80% to a lifetime maximum of $50,000""}","{$250,""20% until the lifetime maximum, then all costs.""}"
C,Part A,Hospice Care,"{""Must Meet Medicare's Requirements""}","{""All but very limited coinsurance, coinsurance for outpatient drugs and inpatient respite care.""}","{""Pays Copayments and Coinsurance""}",{$0}
